,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
120,120,Casula,2170,City of Liverpool ,Sydney,Italian Restaurant,Liquor Store,Chinese Restaurant,Shopping Mall,,,,,,
121,121,Catherine Field,2557,Camden Council ,Sydney,,,,,,,,,,
122,122,Cattai,2756,"City of Hawkesbury, The Hills Shire",Sydney,Dry Cleaner,,,,,,,,,
123,123,Cawdor,2570,"Wollondilly Shire, Camden Council ",Sydney,,,,,,,,,,
124,124,Cecil Hills,2171,City of Liverpool ,Sydney,Shopping Mall,Locksmith,Café,,,,,,,
125,125,Cecil Park,2178,"City of Fairfield, City of Liverpool ",Sydney,,,,,,,,,,
126,126,Centennial Park,2021,"City of Sydney, City of Randwick",Sydney,Park,Restaurant,Pizza Place,Australian Restaurant,Playground,Café,Tourist Information Center,Garden,Grocery Store,Music Venue
127,127,Chatswood,2067,City of Willoughby,Sydney,Café,Gym,Ice Cream Shop,Train Station,Thai Restaurant,Tea Room,Malay Restaurant,Market,Dessert Shop,Hotel
128,128,Chatswood West,2067,"City of Willoughby, City of Ryde",Sydney,Trail,Arcade,Convenience Store,Food Court,Sports Club,,,,,
129,129,Cheltenham,2119,Hornsby Shire,Sydney,Train Station,Platform,,,,,,,,
130,130,Cherrybrook,2126,Hornsby Shire,Sydney,Lake,,,,,,,,,
131,131,Chester Hill,2162,"Canterbury-Bankstown Council, Cumberland Council, New South Wales",Sydney,Restaurant,Falafel Restaurant,Fast Food Restaurant,Hookah Bar,,,,,,
132,132,Chifley,2036,City of Randwick,Sydney,Business Service,Restaurant,Road,Café,Food & Drink Shop,,,,,
133,133,Chippendale,2008,City of Sydney,Sydney,Café,Bar,Hotel,Pub,Bakery,Burger Joint,Thai Restaurant,Cocktail Bar,Bubble Tea Shop,Ice Cream Shop
134,134,Chipping Norton,2170,City of Liverpool ,Sydney,Park,Shopping Mall,Supermarket,Café,,,,,,
135,135,Chiswick,2046,City of Canada Bay,Sydney,Dance Studio,Harbor / Marina,Soccer Field,Park,,,,,,
136,136,Church Point,2105,Northern Beaches Council,Sydney,,,,,,,,,,
137,137,Claremont Meadows,2747,Penrith City Council,Sydney,Playground,,,,,,,,,
138,138,Clarendon,2756,City of Hawkesbury,Sydney,Fried Chicken Joint,Train Station,Racecourse,Pub,Gas Station,,,,,
139,139,Clareville,2107,Northern Beaches Council,Sydney,Surf Spot,Australian Restaurant,Beach,Scenic Lookout,,,,,,
140,140,Claymore,2559,City of Campbelltown ,Sydney,Shopping Mall,,,,,,,,,
141,141,Clemton Park,2206,Canterbury-Bankstown Council,Sydney,Café,Shopping Plaza,Burger Joint,Grocery Store,Pizza Place,Greek Restaurant,,,,
142,142,Clontarf,2093,Northern Beaches Council,Sydney,Café,Surf Spot,Beach,,,,,,,
143,143,Clovelly,2031,City of Randwick,Sydney,Café,Beach,Trail,Bar,Hotel,Playground,Burger Joint,Pizza Place,Bus Line,
144,144,Coasters Retreat,2108,Northern Beaches Council,Sydney,Boat or Ferry,Trail,Bay,,,,,,,
145,145,Cobbitty,2570,Camden Council ,Sydney,Café,,,,,,,,,
146,146,Colebee,2761,City of Blacktown,Sydney,,,,,,,,,,
147,147,Collaroy,2097,Northern Beaches Council,Sydney,Hostel,Café,Beach,Beach Bar,Grocery Store,Sandwich Place,Liquor Store,Thai Restaurant,Bar,Indian Restaurant
148,148,Collaroy Plateau,2097,Northern Beaches Council,Sydney,Grocery Store,Chinese Restaurant,Park,,,,,,,
149,149,Colyton,2760,Penrith City Council,Sydney,Furniture / Home Store,BBQ Joint,American Restaurant,,,,,,,
150,150,Como,2226,Sutherland Shire,Sydney,Train Station,Café,,,,,,,,
151,151,Concord,2137,City of Canada Bay,Sydney,Café,Italian Restaurant,Ice Cream Shop,Bakery,Sports Bar,Dry Cleaner,Golf Course,Soccer Field,Burger Joint,Fast Food Restaurant
152,152,Condell Park,2200,Canterbury-Bankstown Council,Sydney,Wings Joint,Seafood Restaurant,Park,Grocery Store,Mediterranean Restaurant,,,,,
153,153,Connells Point,2221,Georges River Council,Sydney,Convenience Store,,,,,,,,,
154,154,Constitution Hill,2145,City of Parramatta,Sydney,Chinese Restaurant,Fast Food Restaurant,Dessert Shop,Food Truck,Park,,,,,
155,155,Coogee,2034,City of Randwick,Sydney,Café,Hotel,Burger Joint,Italian Restaurant,Fish & Chips Shop,Gym / Fitness Center,Park,Sandwich Place,Pizza Place,Massage Studio
156,156,Cottage Point,2084,Northern Beaches Council,Sydney,Home Service,,,,,,,,,
157,157,Cowan,2081,Hornsby Shire,Sydney,Trail,Café,,,,,,,,
158,158,Cranebrook,2749,Penrith City Council,Sydney,Shopping Mall,Fried Chicken Joint,Café,,,,,,,
159,159,Cremorne,2090,North Sydney Council,Sydney,Café,Cocktail Bar,Pizza Place,Japanese Restaurant,Movie Theater,Grocery Store,Fast Food Restaurant,Thai Restaurant,Shopping Mall,Korean Restaurant
160,160,Cremorne Point,2090,North Sydney Council,Sydney,Harbor / Marina,Trail,Pool,Hotel,,,,,,
161,161,Cromer,2099,Northern Beaches Council,Sydney,Soccer Field,Pub,Café,,,,,,,
162,162,Cronulla,2230,Sutherland Shire,Sydney,Café,Ice Cream Shop,Platform,Bar,Park,Beach,Thai Restaurant,Boat or Ferry,Burger Joint,Japanese Restaurant
163,163,Crows Nest,2065,North Sydney Council,Sydney,Café,Japanese Restaurant,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Italian Restaurant,Sushi Restaurant,Bar,Mexican Restaurant,Cocktail Bar
164,164,Croydon,2132,"Inner West Council, Burwood Council",Sydney,Café,Japanese Restaurant,Thai Restaurant,Indian Restaurant,Pizza Place,Platform,Italian Restaurant,,,
165,165,Croydon Park,2133,"Canterbury-Bankstown Council, Burwood Council, Inner West Council",Sydney,Park,Pizza Place,Grocery Store,Lebanese Restaurant,Fast Food Restaurant,Gas Station,Sandwich Place,Convenience Store,Asian Restaurant,Pub
166,166,Cumberland Reach,2756,City of Hawkesbury,Sydney,,,,,,,,,,
167,167,Curl Curl,2096,Northern Beaches Council,Sydney,Café,Surf Spot,Gym,,,,,,,
168,168,Currans Hill,2567,Camden Council ,Sydney,Bar,Park,,,,,,,,
169,169,Daceyville,2032,Bayside Council,Sydney,Park,Golf Course,,,,,,,,
170,170,Dangar Island,2083,Hornsby Shire,Sydney,Harbor / Marina,Trail,Beach,,,,,,,
171,171,Darling Point,2027,Municipality of Woollahra,Sydney,Park,Dog Run,Boat or Ferry,,,,,,,
172,172,Darlinghurst,2010,City of Sydney,Sydney,Café,Italian Restaurant,Japanese Restaurant,Pub,Pizza Place,Bar,Cocktail Bar,Gym,Thai Restaurant,Mexican Restaurant
173,173,Darlington,2008,City of Sydney,Sydney,Café,Bar,Pub,Thai Restaurant,Bakery,Italian Restaurant,Japanese Restaurant,Beer Garden,Tea Room,Burger Joint
174,174,Davidson,2085,Northern Beaches Council,Sydney,Trail,Playground,,,,,,,,
175,175,Dawes Point,2000,City of Sydney,Sydney,Café,Pub,Australian Restaurant,Hotel,Italian Restaurant,Brewery,Seafood Restaurant,Museum,Scenic Lookout,Japanese Restaurant
176,176,Dean Park,2761,City of Blacktown,Sydney,Pet Store,Sandwich Place,Fast Food Restaurant,,,,,,,
177,177,Dee Why,2099,Northern Beaches Council,Sydney,Pizza Place,Café,Japanese Restaurant,Supermarket,Botanical Garden,Grocery Store,Fast Food Restaurant,Gym,Shopping Mall,Fried Chicken Joint
178,178,Denham Court,2565,"City of Campbelltown , City of Liverpool ",Sydney,Business Service,,,,,,,,,
179,179,Denistone,2114,City of Ryde,Sydney,Playground,,,,,,,,,
180,180,Denistone East,2112,City of Ryde,Sydney,Deli / Bodega,Farmers Market,Café,Burger Joint,Thai Restaurant,Liquor Store,,,,
181,181,Denistone West,2114,City of Ryde,Sydney,Shoe Store,,,,,,,,,
182,182,Dharruk,2770,City of Blacktown,Sydney,Pharmacy,Bar,,,,,,,,
183,183,Dolans Bay,2229,Sutherland Shire,Sydney,Boat or Ferry,Home Service,Sports Club,,,,,,,
184,184,Dolls Point,2219,Bayside Council,Sydney,Café,Park,Sports Bar,,,,,,,
185,185,Doonside,2767,City of Blacktown,Sydney,Platform,Restaurant,BBQ Joint,Grocery Store,Train Station,Bakery,,,,
186,186,Double Bay,2028,Municipality of Woollahra,Sydney,Café,Japanese Restaurant,Supermarket,Fried Chicken Joint,Malay Restaurant,Bakery,Train Station,Bar,Beach,Thai Restaurant
187,187,Dover Heights,2030,Waverley Council,Sydney,Playground,Park,Café,,,,,,,
188,188,Drummoyne,2047,City of Canada Bay,Sydney,Café,Bakery,Vietnamese Restaurant,Sandwich Place,Grocery Store,Market,Gym / Fitness Center,Lebanese Restaurant,Costume Shop,Pub
189,189,Duffys Forest,2084,Northern Beaches Council,Sydney,Stadium,,,,,,,,,
190,190,Dulwich Hill,2203,Inner West Council,Sydney,Sushi Restaurant,Grocery Store,Mediterranean Restaurant,Athletics & Sports,Liquor Store,Bus Station,Diner,Park,Pub,Bakery
191,191,Dundas,2117,City of Parramatta,Sydney,Train Station,Jewelry Store,Seafood Restaurant,Café,Sports Bar,Pizza Place,,,,
192,192,Dundas Valley,2117,City of Parramatta,Sydney,Bus Station,Café,,,,,,,,
193,193,Dural,2158,"Hornsby Shire, Hills District",Sydney,Italian Restaurant,Garden,Gym / Fitness Center,Grocery Store,,,,,,
194,194,Eagle Vale,2558,City of Campbelltown ,Sydney,Pool,,,,,,,,,
195,195,Earlwood,2206,Canterbury-Bankstown Council,Sydney,Fast Food Restaurant,Café,Pizza Place,Playground,,,,,,
196,196,East Hills,2213,Canterbury-Bankstown Council,Sydney,Pub,,,,,,,,,
197,197,East Killara,2071,Ku-ring-gai Council,Sydney,Shopping Mall,Yoga Studio,Park,,,,,,,
198,198,East Kurrajong,2758,City of Hawkesbury,Sydney,,,,,,,,,,
199,199,East Lindfield,2070,Ku-ring-gai Council,Sydney,Candy Store,Playground,,,,,,,,
200,200,East Ryde,2113,City of Ryde,Sydney,Playground,Shopping Mall,Music Venue,Pizza Place,,,,,,
201,201,Eastern Creek,2766,City of Blacktown,Sydney,,,,,,,,,,
202,202,Eastgardens,2036,Bayside Council,Sydney,Café,Supermarket,Department Store,Sushi Restaurant,Fast Food Restaurant,Pizza Place,Thai Restaurant,Sandwich Place,Big Box Store,Dumpling Restaurant
203,203,Eastlakes,2018,Bayside Council,Sydney,Supermarket,Grocery Store,Shopping Mall,Food & Drink Shop,,,,,,
